,features,feature_sums,VIF
2990,FS_OFM_IPF_NLIC_A_XDC,160738560652676.62,inf
331,55L___XDC,7.195965153922568e+21,inf
105,22G___XDC,4.702012600416978e+20,inf
20,12D___XDC,1.8403618928905666e+22,inf
3153,FS_OFM_MMF_AFO_XDC,33369140122641.625,inf
2861,FS_OFM_IPF_LIC_AF_XDC,416310130877230.56,inf
91,22B___XDC,4.788833528812238e+18,inf
102,22F___XDC,9.408329913346618e+19,inf
101,22D___XDC,1.6005548682143146e+23,inf
2721,FS_OFM_IPF_IC_AFO_XDC,556140680263903.1,inf
6301,GADLD_T_LG_G14_XDC_G33_W2|S1313_S1321_XDC,29067576923.0769,inf
6293,GADLD_T_LG_G14_GDP_PT_G33_W2|S1313_S1321_XDC_R_B1GQ,0.1013,inf
10538,GG_GAAFAE_G01_XDC,2832880453547119.0,inf
10,12A___XDC,1.1764736427939702e+20,inf
3198,FS_OFM_O_XDC,4.756192564936428e+20,inf
2853,FS_OFM_IPF_LIC_AFO_XDC,415321482959988.4,inf
1984,FSHG_PT,25086591.9519,inf
302,46H___XDC,8.668293771273552e+18,inf
334,56AA__XDC,1.264310628420792e+19,inf
306,47A___XDC,4.941911633356059e+21,inf
10549,GG_GAAN_G01_XDC,6119410336370155.0,inf
87,22A___XDC,5.219764690899026e+20,inf
1914,FSDFAT_XDC,1.6294267240794405e+21,inf
3156,FS_OFM_MMF_AF_XDC,33369140122641.625,inf
9981,GERD_G14_XDC_GF0805_S1321_XDC,2425893114611.353,inf
4013,GAANNL_G14_XDC_G61_S1321_XDC_W0|S1_N211N,2032085156292348.0,9007199254740992.0
2525,FS_ODX_FSA_FSNSF_XDC,5693670266265185.0,9007199254740992.0
5707,GADANN_T_G14_XDC_G31_S1313_XDC_W0|S1_N2N,29180364638335.78,9007199254740992.0
4101,GAAN_G14_XDC_G61_S1321_XDC_W0|S1_NN,3863916274136604.5,9007199254740992.0
4102,GAAN_G14_XDC_G61_S13_XDC_W0|S1_NN,6950666878256693.0,9007199254740992.0
2441,FS_ODX_B_XDC,1.6075643561360696e+16,9007199254740992.0
2527,FS_ODX_FSA_XDC,5693670266265185.0,9007199254740992.0
3915,GAANFM_G14_XDC_G61_S1313_XDC_W0|S1_N113N,177012382002803.28,9007199254740992.0
418,BCG_GADANS_T_G01_XDC,33009205552020.2,9007199254740992.0
4014,GAANNL_G14_XDC_G61_S13_XDC_W0|S1_N211N,3227711624783437.5,9007199254740992.0
4058,GAANN_G14_XDC_G61_S1312_XDC_W0|S1_N2N,454313598277726.1,9007199254740992.0
4010,GAANNL_G14_XDC_G61_S1312_XDC_W0|S1_N211N,454750078256017.8,9007199254740992.0
10613,GG_GECE_G01_XDC,761664069745865.8,9007199254740992.0
10611,GG_GANW_G01_XDC,5307885421963027.0,9007199254740992.0
