"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Counterpart Country Name","Counterpart Country Code","Metadata Attribute","Metadata Value","Frequency"
"Coordinated Direct Investment Survey (CDIS)","CDIS","Barbados","316","","","","","Country Name","Barbados",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Barbados","316","","","","","Country SDMX Code","BB",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Barbados","316","","","","","Country SDMX Name","Barbados",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Barbados","316","","","","","Country Short Name","Barbados",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belarus, Rep. of","913","","","","","Country Code","913",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belarus, Rep. of","913","","","","","Country Full Name","Belarus, Republic of",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belarus, Rep. of","913","","","","","Country ISO 2 Code","BY",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belarus, Rep. of","913","","","","","Country ISO 3 Code","BLR",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belarus, Rep. of","913","","","","","Country Name","Belarus, Rep. of",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belarus, Rep. of","913","","","","","Country SDMX Code","BY",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belarus, Rep. of","913","","","","","Country SDMX Name","Belarus",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belarus, Rep. of","913","","","","","Country Short Name","Belarus",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belgium","124","","","","","Country Code","124",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belgium","124","","","","","Country Full Name","Belgium",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belgium","124","","","","","Country ISO 2 Code","BE",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belgium","124","","","","","Country ISO 3 Code","BEL",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belgium","124","","","","","Country Name","Belgium",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belgium","124","","","","","Country SDMX Code","BE",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belgium","124","","","","","Country SDMX Name","Belgium",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belgium","124","","","","","Country Short Name","Belgium",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belize","339","","","","","Country Code","339",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belize","339","","","","","Country Full Name","Belize",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belize","339","","","","","Country ISO 2 Code","BZ",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belize","339","","","","","Country ISO 3 Code","BLZ",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belize","339","","","","","Country Name","Belize",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belize","339","","","","","Country SDMX Code","BZ",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belize","339","","","","","Country SDMX Name","Belize",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Belize","339","","","","","Country Short Name","Belize",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Benin","638","","","","","Country Code","638",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Benin","638","","","","","Country Full Name","Benin",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Benin","638","","","","","Country ISO 2 Code","BJ",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Benin","638","","","","","Country ISO 3 Code","BEN",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Benin","638","","","","","Country Name","Benin",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Benin","638","","","","","Country SDMX Code","BJ",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Benin","638","","","","","Country SDMX Name","Benin",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Benin","638","","","","","Country Short Name","Benin",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bermuda","319","","","","","Country Code","319",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bermuda","319","","","","","Country Full Name","Bermuda",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bermuda","319","","","","","Country ISO 2 Code","BM",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bermuda","319","","","","","Country ISO 3 Code","BMU",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bermuda","319","","","","","Country Name","Bermuda",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bermuda","319","","","","","Country SDMX Code","BM",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bermuda","319","","","","","Country SDMX Name","Bermuda",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bermuda","319","","","","","Country Short Name","Bermuda",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bhutan","514","","","","","Country Code","514",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bhutan","514","","","","","Country Full Name","Bhutan",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bhutan","514","","","","","Country ISO 2 Code","BT",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bhutan","514","","","","","Country ISO 3 Code","BTN",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bhutan","514","","","","","Country Name","Bhutan",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bhutan","514","","","","","Country SDMX Code","BT",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bhutan","514","","","","","Country SDMX Name","Bhutan",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bhutan","514","","","","","Country Short Name","Bhutan",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bolivia","218","","","","","Country Code","218",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bolivia","218","","","","","Country Full Name","Bolivia",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bolivia","218","","","","","Country ISO 2 Code","BO",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bolivia","218","","","","","Country ISO 3 Code","BOL",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bolivia","218","","","","","Country Name","Bolivia",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bolivia","218","","","","","Country SDMX Code","BO",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bolivia","218","","","","","Country SDMX Name","Bolivia",""
"Coordinated Direct Investment Survey (CDIS)","CDIS","Bolivia","218","","","","","Country Short Name","Bolivia",""
